                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 0.7431,                0.39493,                 0.8728,                0.99682,                0.99776,                0.99499,                0.81825,                0.72748,                 0.3399,                0.87226,             0.00065345,             0.00065345,             0.00065345
                    106,                0.75116,                0.41422,                0.89398,                0.99674,                0.99744,                0.99499,                0.82711,                0.71546,                0.34276,                0.86541,             0.00064905,             0.00064905,             0.00064905
                    107,                0.73196,                0.39045,                0.86729,                  0.996,                0.99687,                0.99497,                0.83177,                0.70554,                0.33352,                0.86416,             0.00064465,             0.00064465,             0.00064465
                    108,                0.76613,                0.40519,                0.87956,                0.99653,                 0.9979,                  0.995,                0.83238,                0.70487,                0.33218,                0.86487,             0.00064025,             0.00064025,             0.00064025
                    109,                0.78615,                 0.4173,                0.88062,                0.99474,                0.99884,                0.99436,                0.83031,                0.70753,                0.34457,                0.86559,             0.00063585,             0.00063585,             0.00063585
                    110,                0.76961,                0.43618,                0.86015,                0.99513,                0.99863,                0.99492,                 0.8393,                0.70541,                0.34706,                0.86335,             0.00063145,             0.00063145,             0.00063145
                    111,                0.79363,                  0.417,                0.88112,                0.99507,                 0.9984,                  0.995,                0.83637,                0.70961,                0.33932,                0.86458,             0.00062705,             0.00062705,             0.00062705
                    112,                0.74538,                0.40228,                0.87208,                0.99611,                0.99634,                  0.995,                0.83301,                0.70959,                 0.3321,                0.86638,             0.00062265,             0.00062265,             0.00062265
                    113,                0.72304,                0.39647,                0.86161,                0.99632,                0.99881,                  0.995,                0.82398,                 0.7024,                0.33362,                0.86839,             0.00061825,             0.00061825,             0.00061825
                    114,                 0.7532,                0.40865,                0.88778,                 0.9967,                0.99811,                  0.995,                0.83121,                0.69204,                0.32588,                0.86285,             0.00061385,             0.00061385,             0.00061385
                    115,                0.71982,                0.39785,                0.86782,                0.99756,                0.99887,                  0.995,                0.82882,                0.69413,                0.33211,                0.86192,             0.00060945,             0.00060945,             0.00060945
                    116,                0.69446,                0.38903,                0.85691,                0.99613,                0.99887,                0.99491,                0.84549,                0.64312,                0.31835,                 0.8505,             0.00060505,             0.00060505,             0.00060505
                    117,                0.73058,                0.40501,                0.85482,                0.99524,                0.99887,                  0.995,                0.83886,                0.68998,                0.33908,                0.86162,             0.00060065,             0.00060065,             0.00060065
                    118,                0.73959,                0.41077,                0.88222,                0.99655,                0.99832,                0.99498,                0.85125,                0.65882,                 0.3209,                0.85271,             0.00059625,             0.00059625,             0.00059625
                    119,                0.73665,                0.40684,                0.85845,                0.99755,                0.99882,                  0.995,                0.84364,                0.70245,                0.32753,                0.86239,             0.00059185,             0.00059185,             0.00059185
                    120,                0.72765,                0.38716,                0.85318,                 0.9963,                      1,                  0.995,                0.84327,                0.70165,                0.33163,                0.86164,             0.00058745,             0.00058745,             0.00058745
                    121,                0.70927,                0.40219,                0.87447,                 0.9923,                 0.9986,                0.99493,                0.81701,                0.75355,                0.34871,                0.87628,             0.00058305,             0.00058305,             0.00058305
                    122,                0.73069,                0.40563,                0.87635,                0.99343,                0.99778,                0.99495,                0.84185,                0.64633,                0.32626,                0.84792,             0.00057865,             0.00057865,             0.00057865
                    123,                0.70216,                0.37915,                0.86168,                0.99628,                0.99853,                0.99497,                0.83456,                0.70172,                0.33506,                0.86251,             0.00057425,             0.00057425,             0.00057425
                    124,                0.70201,                0.38187,                0.85649,                0.99538,                0.99945,                0.99492,                0.84454,                0.64606,                0.31929,                0.84905,             0.00056985,             0.00056985,             0.00056985
                    125,                0.72256,                0.40918,                0.86598,                 0.9944,                0.99861,                0.99498,                0.84993,                0.67748,                0.32286,                0.85621,             0.00056545,             0.00056545,             0.00056545
                    126,                 0.7299,                0.39817,                0.85546,                0.99685,                0.99951,                  0.995,                0.84325,                0.67124,                0.32501,                0.85239,             0.00056105,             0.00056105,             0.00056105
                    127,                 0.7067,                0.38546,                0.85665,                0.99466,                0.99749,                  0.995,                0.85502,                0.64603,                0.32854,                 0.8484,             0.00055666,             0.00055666,             0.00055666
                    128,                0.70783,                0.37434,                0.87893,                0.99343,                0.99234,                0.99499,                0.85386,                 0.6403,                0.33099,                 0.8481,             0.00055226,             0.00055226,             0.00055226
